ChoiceID,Amount,Offer,Bullets
40112_existing,94.97,Digital + 1M + ULD 94.97,"NOW, GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+ movies and shows On Demand. 

Internet speeds up to 1Mbps. Includes free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico, plus 10 calling features. 
"
40113,109.97,Digital + 8M + ULD + HD 109.97,"LOCK IN YOUR PRICE FOR 2 YEARS!
 
Get top-rated channels in HD.  6,500+ shows On Demand, 900+ in HD. 

Internet speeds up to 8Mbps including  PowerBoost® and access to ESPN3.com.  

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  
"
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"UPGRADE AND GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+ movies and shows On Demand. 

Internet speeds up to 1Mbps. Includes free access to ESPN3.com. 


"
40102_existing,109.97,Digital + 8M + ULD + Wire Maintainence 109.97,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  
"
40204,74.98,DH + HSI 8M $74.98/6 MOS ,"UPGRADE AND GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+ movies and shows On Demand. 

Internet speeds up to 1Mbps. Includes free access to ESPN3.com. "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com. 
"
40113,109.97,Digital + 8M + ULD + HD 109.97,"LOCK IN YOUR PRICE FOR 2 YEARS!
 
Get top-rated channels in HD.  6,500+ shows On Demand, 900+ in HD. 

Internet speeds up to 8Mbps including  PowerBoost® and access to ESPN3.com.  

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40102_existing,109.97,Digital + 8M + ULD + Wire Maintainence 109.97,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40121,150.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus 150.97,"UPGRADE AND GET MORE FROM CHARTER

140+ channels of the best shows including 6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Encore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. "
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40117,130.97, Digital + 8M + ULD + 2 Premium 130.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40121,150.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus 150.97,"UPGRADE AND GET MORE FROM CHARTER

140+ channels of the best shows including 6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Encore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40120,140.97,Digital Cable + 8M + ULD + 3 Premiums 140.97 ,"UPGRADE AND GET MORE FROM CHARTER!

100+ channels of the best shows, including On Demand. Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com.   

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40121,150.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus 150.97,"UPGRADE AND GET MORE FROM CHARTER

140+ channels of the best shows including 6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Encore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40101_existing,69.97,Basic + 8M + ULD 69.97 ,"UPGRADE AND GET MORE FROM CHARTER

Favorite news, shows, sports and local channels.  

Internet speeds up to 8Mbps. Includes PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico, plus 10 calling features. "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40102_existing,109.97,Digital + 8M + ULD + Wire Maintainence 109.97,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"LOCK IN YOUR PRICE FOR TWO YEARS

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. Includes free wire maintenance. "
40118,79.97,Basic Cable + 16M + ULD 79.97,"UPGRADE AND GET MORE FROM CHARTER

Favorite news, shows, sports and local channels.  

Internet speeds up to 16Mbps. Includes PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico, plus 10 calling features. "
40113,109.97,Digital + 8M + ULD + HD 109.97,"LOCK IN YOUR PRICE FOR 2 YEARS!
 
Get top-rated channels in HD.  6,500+ shows On Demand, 900+ in HD. 

Internet speeds up to 8Mbps including  PowerBoost® and access to ESPN3.com.  

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40102_existing,109.97,Digital + 8M + ULD + Wire Maintainence 109.97,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40118,79.97,Basic Cable + 16M + ULD 79.97,"UPGRADE AND GET MORE FROM CHARTER

Favorite news, shows, sports and local channels.  

Internet speeds up to 16Mbps. Includes PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico, plus 10 calling features. "
40113,109.97,Digital + 8M + ULD + HD 109.97,"LOCK IN YOUR PRICE FOR 2 YEARS!
 
Get top-rated channels in HD.  6,500+ shows On Demand, 900+ in HD. 

Internet speeds up to 8Mbps including  PowerBoost® and access to ESPN3.com.  

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40102_existing,109.97,Digital + 8M + ULD + Wire Maintainence 109.97,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40118,79.97,Basic Cable + 16M + ULD 79.97,"UPGRADE AND GET MORE FROM CHARTER

Favorite news, shows, sports and local channels.  

Internet speeds up to 16Mbps. Includes PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico, plus 10 calling features. "
40115,119.97, Digital + 16M + ULD + HD 119.97,"UPGRADE AND GET MORE FROM CHARTER

Top-rated channels in HD.  6,500+ shows On Demand, 900+ in HD. 

Internet speeds up to 16Mbps including  PowerBoost® and free access to ESPN3.com.  

Unlimited long distance calling to the U.S., Canada or Puerto Rico plus 10 calling features. "
40106,179.97,Digital Cable + 25M + ULD + 3 Premiums + Digital View Plus + HD/DVR 179.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

180+ channels of the best shows and sports including  On Demand. Get DVR , HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 25Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40116,128.97,Digital + 16M + ULD + 1 Premium 128.97,"UPGRADE AND GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+  shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 16Mbps including PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40116,128.97,Digital + 16M + ULD + 1 Premium 128.97,"UPGRADE AND GET MORE FROM CHARTER

100+ channels of the best shows plus 6,500+  shows On Demand. 

Choice of 1 Premium Package. Internet speeds up to 16Mbps including PowerBoost® and free access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40202_existing,89.98,DH + HSI 8M $89.98/24 MOS,"LOCK IN YOUR PRICE FOR TWO YEARS!

100+ channels of the best shows, movies and sports including 6,500+ movies and shows On Demand. 

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New1-40210,104.98,HD Ultra +DigViewPlus + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 120+ channels with top rated channels in HD. 6,500+ shows On Demand.

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 

"
New2-40211,140.98,HD Ultra + DigViewPlus +3Prem + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 140+ channels with top rated channels in HD. 6,500+ shows On Demand.
HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 
"
40114,118.97,Digital Prem + 8M + ULD 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40103_existing,118.97,Digital Prem + 8M + ULD + Wire Maintainence 118.97 ,"UPGRADE AND GET MORE FROM CHARTER

Get 100+ channels of the best shows plus 6,500+ shows On Demand. Choice of 1 Premium Package. 

Internet speeds up to 8Mbps including PowerBoost® and access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New1-40210,104.98,HD Ultra +DigViewPlus + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 120+ channels with top rated channels in HD. 6,500+ shows On Demand.

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. "
New2-40211,140.98,HD Ultra + DigViewPlus +3Prem + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 140+ channels with top rated channels in HD. 6,500+ shows On Demand.
HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 
"
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40121,150.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus 150.97,"UPGRADE AND GET MORE FROM CHARTER

140+ channels of the best shows including 6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Encore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40106,179.97,Digital Cable + 25M + ULD + 3 Premiums + Digital View Plus + HD/DVR 179.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

180+ channels of the best shows and sports including  On Demand. Get DVR , HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 25Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New2-40211,140.98,HD Ultra + DigViewPlus +3Prem + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 140+ channels with top rated channels in HD. 6,500+ shows On Demand.
HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 
"
40119,135.97,Digital Cable + 8M + ULD + 2 Premiums + Digital View 135.97,"UPGRADE AND GET MORE FROM CHARTER

120+ channels of the best shows plus 6,500+ shows On Demand. Choice of 2 Premium Packages. 

Internet speeds up to 8Mbps including PowerBoost® and  access to ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico."
40121,150.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus 150.97,"UPGRADE AND GET MORE FROM CHARTER

140+ channels of the best shows including 6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Encore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico. "
40105,149.97,Digital Cable + 8M + ULD + 3 Premiums + Digital View Plus + HD/DVR 149.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

Get 140+ channels , with top rated channels in HD.  6,500+ shows On Demand. HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 8Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40106,179.97,Digital Cable + 25M + ULD + 3 Premiums + Digital View Plus + HD/DVR 179.97,"LOCK IN YOUR PRICE FOR 2 YEARS!

180+ channels of the best shows and sports including  On Demand. Get DVR , HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 25Mbps with PowerBoost® and  ESPN3.com. 

Unlimited long distance calling to the U.S., Canada or Puerto Rico.  "
40203_existing,119.98,DH 3Prem Dig View Plus + HSI 8M $119.98/24 MOS,"LOCK IN YOUR PRICE FOR 2 YEARS!

120+ channels of the best shows, including On Demand.
Includes HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC.  

Internet speeds up to 8Mbps.  Includes PowerBoost®, and access to ESPN3.com.  "
New2-40211,140.98,HD Ultra + DigViewPlus +3Prem + HSI-Plus,"UPGRADE AND GET MORE FROM CHARTER

Get 140+ channels with top rated channels in HD. 6,500+ shows On Demand.
HBO®/Cinemax®, Starz®/Ensore® and Showtime®/TMC. 

Internet speeds up to 16Mbps including PowerBoost® and  access to ESPN3.com. 
"
